miRNA	average
miR-143-3p	13.510991485997433
let-7a-5p	11.77200010122346
miR-21-5p	10.959963473101087
miR-22-3p	10.87241005208852
miR-30a-5p	10.532363962805125
let-7b-5p	10.23467431517619
miR-99b-5p	10.142243547496392
let-7f-5p	9.78925833689578
miR-30d-5p	9.776138137945276
miR-10a-5p	9.715848710953438
miR-30a-3p	9.67416359417737
miR-103a-3p	9.424865296038252
miR-148a-3p	9.104728516910694
miR-29a-3p	9.068503061390782
miR-101-3p	8.995186879085637
miR-375	8.376402988535144
miR-100-5p	8.209352540737422
miR-92a-3p	8.182365045726579
miR-25-3p	8.134416510034338
miR-200c-3p	8.06913798708934
miR-30e-3p	7.9453131074834955
miR-10b-5p	7.577378309739914
miR-26a-5p	7.4844221277012295
let-7c-5p	7.287185315148276
miR-182-5p	7.20897214172941
miR-30e-5p	7.107318923618268
miR-23a-3p	7.032933256488728
miR-181a-5p	7.013329186033006
miR-28-3p	6.911364943315501
miR-203a-3p	6.827176532358872
miR-151a-3p	6.799575711892156
let-7e-5p	6.781442528113971
miR-24-3p	6.711346508721147
miR-29c-3p	6.686309096471026
miR-126-3p	6.5158481484068105
miR-451a	6.439981052668777
miR-140-3p	6.366018858769054
miR-183-5p	6.301544600550553
miR-145-5p	6.1178387297914965
miR-27b-3p	6.116133012945153
miR-93-5p	5.933986251945814
miR-23b-3p	5.898214151286029
miR-27a-3p	5.789663198385963
miR-486-5p	5.772000345699802
let-7g-5p	5.3650420877956915
miR-146b-5p	5.3453102175593425
miR-181a-2-3p	5.33927019511442
miR-150-5p	5.316943840331533
miR-378a-3p	5.2416417427121855
miR-199a-3p	5.156081853998691
miR-199b-3p	5.15148129738291
miR-125a-5p	4.983561170835776
miR-21-3p	4.7943257799849635
let-7d-3p	4.767128414160692
miR-374a-3p	4.760407793383689
miR-532-5p	4.710233139715205
miR-338-3p	4.638347379242531
miR-144-5p	4.6155535991626415
miR-30b-5p	4.607982586946762
miR-125b-5p	4.545230831103645
miR-26b-5p	4.509619223053187
miR-320a	4.4227356200435874
miR-30c-5p	4.381452382445949
miR-181b-5p	4.351578595711017
miR-99a-5p	4.267503057639121
miR-223-3p	4.216324827378218
miR-16-5p	4.190134721268195
let-7i-5p	4.127983751249279
miR-126-5p	4.089519711516851
miR-1307-3p	4.080524284235858
miR-221-3p	3.9656320550196367
miR-142-3p	3.962242392561778
miR-127-3p	3.9220798144793894
miR-15b-5p	3.8443121911331843
miR-197-3p	3.802166908092065
miR-379-5p	3.7946536687242194
miR-199a-5p	3.786464768948627
miR-200b-3p	3.7769382212667826
let-7d-5p	3.772614997877849
miR-155-5p	3.6288620412629053
miR-193a-5p	3.5557755637359554
miR-146b-3p	3.521155144615322
miR-29b-3p	3.5203281081437554
miR-17-3p	3.4980901908178907
miR-191-5p	3.483008993890374
miR-152-3p	3.4428166984166766
miR-361-5p	3.4064948477894212
miR-106b-3p	3.3973790313351895
miR-141-3p	3.3745345761642573
miR-181a-3p	3.3672545707253794
miR-192-5p	3.319079427105963
miR-106b-5p	3.282792043497164
miR-30c-2-3p	3.202137390396225
miR-186-5p	3.0634646853655134
miR-361-3p	3.03735078344365
miR-582-3p	3.0006071328930104
miR-500a-3p	2.9246799623745416
miR-141-5p	2.764575539824544
miR-148b-3p	2.7452760282070896
miR-146a-5p	2.688863490840544
miR-218-5p	2.6871497346372775
miR-17-5p	2.6718605996522298
miR-194-5p	2.6684111463842903
miR-423-5p	2.6484363337675854
miR-3065-3p	2.622729084679874
miR-625-3p	2.592471234553018
miR-195-5p	2.573725837560798
miR-542-3p	2.545124776828574
miR-92b-3p	2.5207720204122546
miR-200a-5p	2.4775454136677646
miR-342-3p	2.4531234001653845
miR-34a-5p	2.427424478578566
miR-139-5p	2.3735577765138984
miR-15a-5p	2.366412796763743
miR-20a-5p	2.2454401213714834
miR-452-5p	2.2349468929173217
miR-107	2.2348658378137336
miR-132-3p	2.232646477851873
miR-139-3p	2.214615021743609
miR-374b-5p	2.2105393529730697
miR-128-3p	2.1913062883990766
miR-134-5p	2.166072206558699
miR-574-3p	2.12284919221417
miR-28-5p	2.1200223643957288
miR-145-3p	2.1156819126144315
miR-378a-5p	2.0850259947549987
miR-335-3p	2.0528764711125804
let-7i-3p	2.046808284960084
miR-98-5p	2.013772765937201
miR-185-5p	1.9994067480313438
miR-200a-3p	1.9945192421544646
miR-142-5p	1.991581952998478
miR-425-5p	1.9799212200665963
miR-199b-5p	1.9773354078596603
miR-374a-5p	1.9574203306760922
miR-99b-3p	1.9517911592890658
miR-584-5p	1.9509940622011235
miR-222-3p	1.8592108296992749
miR-423-3p	1.8322848135487904
miR-589-5p	1.8248720403590912
miR-1307-5p	1.820579262137956
miR-652-3p	1.8007138661913553
miR-19b-3p	1.7688820331022141
miR-130a-3p	1.7310837210213619
miR-144-3p	1.7154350094801007
miR-629-5p	1.7132732251528484
miR-34c-5p	1.6846439671165079
miR-9-5p	1.6435669783371718
miR-181c-5p	1.6403118453590153
miR-1-3p	1.5996332253289256
let-7b-3p	1.5951109354716606
miR-484	1.5928136602525493
miR-1247-3p	1.5757890979963676
miR-455-3p	1.5177545398481826
miR-34c-3p	1.4797190012184809
miR-340-5p	1.4394932397311175
miR-429	1.411498436625335
miR-181c-3p	1.3965774489485145
miR-205-5p	1.3895036678604844
miR-140-5p	1.3718717075226956
miR-151a-5p	1.3654771125691472
miR-32-5p	1.3625815226745133
miR-328-3p	1.3499109696401843
let-7a-3p	1.3373885172920068
miR-184	1.314403648533539
miR-598-3p	1.2892819824272805
miR-148a-5p	1.2611428916346223
miR-660-5p	1.2582348734925315
miR-532-3p	1.2189259696042607
miR-338-5p	1.2054290553271882
miR-744-5p	1.2029029352216938
miR-330-5p	1.1842647921460832
miR-27a-5p	1.175414331061977
miR-365b-3p	1.1614894092145531
miR-365a-3p	1.16139303806807
miR-1287-5p	1.1355081847951063
miR-501-3p	1.0928138236203142
miR-424-5p	1.0843704167986568
miR-15b-3p	1.080087290390802
miR-511-5p	1.0453723010246236
miR-326	1.0430258341309804
miR-125b-2-3p	1.0351871093039968
miR-2355-5p	1.0305886932222985
miR-1976	1.0264542645728167
miR-127-5p	1.0242486482879445
miR-210-3p	0.9882613114659509
miR-133a-3p	0.9863464494230848
miR-29b-2-5p	0.9591085192607656
miR-335-5p	0.9567447011250758
miR-381-3p	0.9440684737020134
miR-497-5p	0.9332625514725941
miR-1180-3p	0.923867019425809
miR-203b-3p	0.9177877260417341
miR-505-3p	0.913603210151845
let-7e-3p	0.8755705575218815
miR-664a-3p	0.8302069958695695
miR-331-3p	0.8212736498371735
miR-874-3p	0.8115684533655962
miR-193b-3p	0.7963572352562786
miR-181d-5p	0.794735431131076
miR-339-5p	0.7944946203378314
miR-149-5p	0.7935781987556488
miR-324-3p	0.7845402536617254
miR-508-3p	0.7812752485818265
miR-29c-5p	0.7765008424602494
miR-654-3p	0.7033277911018618
miR-769-5p	0.7002261652042311
miR-22-5p	0.6939191847552165
miR-34b-3p	0.6681737927280728
miR-514a-3p	0.6488074168727443
miR-339-3p	0.6375872437407635
miR-200c-5p	0.634259553174277
miR-455-5p	0.62513023859813
miR-4662a-5p	0.6214748933453279
miR-378c	0.6041896957140807
miR-1247-5p	0.5858887284916698
miR-1266-5p	0.572352375849678
miR-24-2-5p	0.5687052627344872
miR-143-5p	0.5672119538219602
miR-27b-5p	0.5624119698312025
miR-181b-3p	0.5572458080094315
miR-708-3p	0.5394823050847897
miR-224-5p	0.5394094299603328
miR-30d-3p	0.5295344396836044
miR-363-3p	0.5291875828080143
miR-217	0.528308882896754
miR-502-3p	0.5198139852417942
miR-3613-5p	0.5150913851006996
miR-190a-5p	0.5094793082039903
miR-24-1-5p	0.484924144079697
miR-324-5p	0.48060306636893124
miR-6892-5p	0.47101559873512483
miR-582-5p	0.4682241988883149
miR-200b-5p	0.46473565271300254
miR-214-5p	0.4624703641924181
miR-150-3p	0.45368762153851977
miR-185-3p	0.44980866710865397
miR-125a-3p	0.44762774758066115
miR-342-5p	0.4445613133170333
miR-135b-5p	0.44427559079050266
miR-20b-5p	0.43251279004204174
miR-19a-3p	0.42801725641266425
miR-138-5p	0.4271323017946239
miR-4772-3p	0.42588814274307296
miR-337-3p	0.424035818918651
miR-196b-5p	0.421611705619113
miR-1306-5p	0.4206154857804678
miR-410-3p	0.4123064631115213
miR-101-5p	0.41015056312247883
miR-26b-3p	0.40660522394941057
miR-18a-5p	0.4057876284895624
miR-3130-5p	0.39975042135488453
miR-425-3p	0.3994865483726814
miR-766-3p	0.3991521741315333
miR-222-5p	0.39536893522960503
miR-653-5p	0.3936438336807
miR-16-2-3p	0.3888506992632232
miR-450b-5p	0.3853285639678315
miR-214-3p	0.37735971831281
miR-628-5p	0.37683159732890464
miR-204-5p	0.3648673473468164
miR-3615	0.36224181179304615
miR-30b-3p	0.359471814094
miR-3614-5p	0.35259801854750533
miR-136-3p	0.3492915688693796
miR-411-5p	0.3409392391706128
miR-1296-5p	0.33937207086485033
let-7g-3p	0.3384391422180421
miR-889-3p	0.3369140455373602
miR-195-3p	0.33426997207927966
miR-942-5p	0.3289607646762605
miR-106a-5p	0.32891537481829536
miR-330-3p	0.3230944584374031
miR-1468-5p	0.3202630208871195
miR-409-3p	0.3186174353001334
miR-130b-3p	0.31678916529413614
miR-576-5p	0.31604613257992153
miR-1301-3p	0.31541816874636064
miR-187-3p	0.3110911870219059
miR-215-5p	0.3106344456696724
miR-758-5p	0.3080560623508065
miR-193a-3p	0.3020114459593321
miR-6842-3p	0.2873634856579232
miR-509-3p	0.28705686785002094
miR-362-5p	0.2851197615600217
miR-212-3p	0.2839961286117494
miR-382-5p	0.28210891607789157
miR-133b	0.28114570312664233
miR-3065-5p	0.279940476094652
miR-128-1-5p	0.2754400244383504
miR-2110	0.26622281268144854
miR-6511b-3p	0.2632508751172217
miR-4677-3p	0.25984825283653823
miR-345-5p	0.258302976180222
miR-708-5p	0.25581418953911783
