Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	average	Locus_start	Locus_end	Protein_start	Protein_end
SARS_coronavirus_complete_genome	miR-195-5p	10255	10260	9727	9732	6mer	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	11152	11158	10611	10617	7mer-m8	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	11321	11327	10779	10785	7mer-m8	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	11336	11341	10794	10799	6mer	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	11617	11623	11072	11078	7mer-m8	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	11865	11872	11304	11311	8mer-1a	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	12130	12136	11563	11569	7mer-m8	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	12133	12140	11566	11573	8mer-1a	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	13526	13532	12934	12940	7mer-1a	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	14728	14733	14124	14129	6mer	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS_coronavirus_complete_genome	miR-195-5p	15096	15102	14492	14498	7mer-m8	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS_coronavirus_complete_genome	miR-195-5p	15316	15322	14712	14718	7mer-1a	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS_coronavirus_complete_genome	miR-195-5p	1628	1634	1508	1514	7mer-1a	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	16855	16862	16251	16258	8mer-1a	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS_coronavirus_complete_genome	miR-195-5p	2026	2031	1882	1887	6mer	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	20410	20416	19788	19794	7mer-1a	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS_coronavirus_complete_genome	miR-195-5p	24887	24893	23747	23753	7mer-m8	x	0	100	2.573725837560798	S	S	E2 glycoprotein precursor	E2 glycoprotein precursor
SARS_coronavirus_complete_genome	miR-195-5p	25230	25236	24059	24065	7mer-m8	x	0	100	2.573725837560798	S	S	E2 glycoprotein precursor	E2 glycoprotein precursor
SARS_coronavirus_complete_genome	miR-195-5p	25282	25287	24111	24116	6mer	x	0	100	2.573725837560798	S	S	E2 glycoprotein precursor	E2 glycoprotein precursor
SARS_coronavirus_complete_genome	miR-195-5p	25673	25678	24480	24485	6mer	x	0	100	2.573725837560798	S	S	E2 glycoprotein precursor	E2 glycoprotein precursor
SARS_coronavirus_complete_genome	miR-195-5p	25705	25712	24509	24516	8mer-1a	x	0	100	2.573725837560798	S	S	E2 glycoprotein precursor	E2 glycoprotein precursor
SARS_coronavirus_complete_genome	miR-195-5p	26859	26866	25518	25525	8mer-1a	x	0	100	2.573725837560798	sars3a	sars3a	hypothetical protein sars3a	hypothetical protein sars3a
SARS_coronavirus_complete_genome	miR-195-5p	28091	28100	26595	26601	7mer-m8	x	0	100	2.573725837560798	M	M	matrix protein	matrix protein
SARS_coronavirus_complete_genome	miR-195-5p	29262	29268	27587	27593	7mer-m8	x	0	100	2.573725837560798	sars7a	sars7a	hypothetical protein sars7a	hypothetical protein sars7a
SARS_coronavirus_complete_genome	miR-195-5p	30617	30624	28787	28794	8mer-1a	x	0	100	2.573725837560798	N	N	nucleocapsid protein	nucleocapsid protein
SARS_coronavirus_complete_genome	miR-195-5p	30703	30709	28872	28878	7mer-m8	x	0	100	2.573725837560798	N	N	nucleocapsid protein	nucleocapsid protein
SARS_coronavirus_complete_genome	miR-195-5p	3628	3635	3375	3382	8mer-1a	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	5602	5609	5313	5320	8mer-1a	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	6854	6859	6484	6489	6mer	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	7362	7382	6936	6942	7mer-m8	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	9275	9281	8758	8764	7mer-1a	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	9457	9463	8940	8946	7mer-m8	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-195-5p	9949	9956	9429	9436	8mer-1a	x	0	100	2.573725837560798	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-16-5p	10255	10260	9727	9732	6mer	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-16-5p	11152	11158	10611	10617	7mer-m8	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-16-5p	11321	11327	10779	10785	7mer-m8	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-16-5p	11336	11341	10794	10799	6mer	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-16-5p	11617	11623	11072	11078	7mer-m8	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-16-5p	11865	11872	11304	11311	8mer-1a	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-16-5p	12130	12136	11563	11569	7mer-m8	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-16-5p	12133	12140	11566	11573	8mer-1a	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-16-5p	13526	13532	12934	12940	7mer-1a	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-16-5p	14728	14733	14124	14129	6mer	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS_coronavirus_complete_genome	miR-16-5p	15096	15102	14492	14498	7mer-m8	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS_coronavirus_complete_genome	miR-16-5p	15316	15322	14712	14718	7mer-1a	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS_coronavirus_complete_genome	miR-16-5p	1628	1634	1508	1514	7mer-1a	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS_coronavirus_complete_genome	miR-16-5p	16855	16862	16251	16258	8mer-1a	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS_coronavirus_complete_genome	miR-16-5p	2026	2031	1882	1887	6mer	x	0	100	4.190134721268195	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
