Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	Locus_start	Locus_end	Protein_start	Protein_end
NL63	miR-7159-5p	10945	10950	10945	10950	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	11404	11410	11404	11410	7mer-1a	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	11626	11632	11626	11632	7mer-1a	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	12070	12075	12070	12075	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	12418	12423	12418	12423	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	14223	14229	14223	14229	7mer-1a	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	14607	14613	14607	14613	7mer-1a	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	14927	14933	14927	14933	7mer-m8	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	15501	15507	15501	15507	7mer-1a	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	16137	16142	16137	16142	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	16455	16460	16455	16460	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	16794	16799	16794	16799	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	17256	17262	17256	17262	7mer-1a	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	17850	17855	17850	17855	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	18129	18134	18129	18134	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	18435	18440	18435	18440	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	18591	18596	18591	18596	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	18651	18656	18651	18656	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	18995	19001	18995	19001	7mer-1a	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	19038	19044	19038	19044	7mer-1a	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	1920	1926	1920	1926	7mer-m8	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	19279	19285	19279	19285	7mer-m8	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
NL63	miR-7159-5p	21346	21352	21346	21352	7mer-m8	x	0	100	S	S	Spike protein	Spike protein
NL63	miR-7159-5p	2152	2157	2152	2157	6mer	x	0	100	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
