miRNA	miRDB score	site type
miR-4288	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-16-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-195-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-21-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3133	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-424-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-497-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548b-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548o-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548d-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ay-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548am-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-559	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548au-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548bb-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548w	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548c-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-302c-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548h-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548aq-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ad-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ae-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548y	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ak	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ar-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4684-3p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-409-3p	96	['6mer', '7mer-1a', '7mer-m8']
miR-548i	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ap-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548a-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ab	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548j-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
