miRNA	miRDB score	site type	average
miR-3065-5p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.279940476094652
miR-495-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1590227175808509
miR-3143	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.002916370772029726
miR-548d-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.005051830342108716
miR-2115-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.011596771326698284
miR-21-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.7943257799849635
miR-1323	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.037582698415498876
miR-548e-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0037809259813887247
miR-16-1-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.11360677466370525
miR-548j-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0006322006072680007
miR-802	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0003372391167679213
miR-361-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.4064948477894212
miR-194-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.6684111463842903
miR-4709-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.00429305151985398
miR-126-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.089519711516851
miR-421	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.14094659333760362
miR-5582-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.002253192426428718
miR-1305	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.00304646764398706
miR-676-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.016452631376554918
miR-3163	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.00553011213496802
miR-197-3p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.802166908092065
miR-4668-3p	96	['6mer', '7mer-1a', '8mer-1a']	0.017869969252363047
miR-507	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0023003227782053184
miR-5003-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0007326618647674727
miR-548ak	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0008147705866296186
miR-548ar-3p	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0010236490217032557
miR-195-5p	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.573725837560798
miR-212-3p	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2839961286117494
miR-16-5p	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.190134721268195
miR-22-5p	95	['6mer', '7mer-1a', '8mer-1a']	0.6939191847552165
miR-624-5p	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.13145420205767971
miR-607	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.008063840480123657
miR-132-3p	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.232646477851873
miR-548f-3p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0038436289098818677
