miRNA	miRDB score	site type	average
miR-21-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.7943257799849635
miR-3065-5p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.279940476094652
miR-495-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1590227175808509
miR-802	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0003372391167679213
miR-3163	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.00553011213496802
miR-190a-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.006087058929090386
miR-3613-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.03492289393606165
miR-551b-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0008932962053515033
miR-548n	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.002631384891388025
miR-548d-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.005051830342108716
miR-497-3p	99	['6mer', '7mer-1a', '7mer-m8']	0.014549316304172557
miR-4762-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.004182830524588748
miR-889-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3369140455373602
miR-1323	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.037582698415498876
miR-548j-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0006322006072680007
miR-126-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.089519711516851
miR-944	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.10876262151789302
miR-186-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.0634646853655134
miR-1283	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.010833550554331406
miR-5582-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.002253192426428718
miR-381-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.9440684737020134
miR-3133	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0005808117038212916
miR-410-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.4123064631115213
miR-98-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.051125040324833025
miR-4528	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.005099218321602856
let-7b-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.5951109354716606
let-7f-1-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1867196156169116
