miRNA	miRDB score	site type	average
miR-182-5p	70	['6mer', '7mer-m8', '8mer-1a']	7.20897214172941
miR-93-5p	64	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	5.933986251945814
miR-486-5p	58	['6mer', '7mer-1a', '8mer-1a']	5.772000345699802
miR-21-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.7943257799849635
miR-374a-3p	59	['6mer', '7mer-1a', '7mer-m8']	4.760407793383689
miR-338-3p	92	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.638347379242531
miR-16-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.190134721268195
miR-197-3p	64	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.802166908092065
miR-17-3p	60	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.4980901908178907
miR-152-3p	53	['6mer', '7mer-1a', '7mer-m8']	3.4428166984166766
miR-141-3p	77	['6mer', '7mer-1a', '7mer-m8']	3.3745345761642573
miR-186-5p	52	['6mer', '7mer-1a', '7mer-m8']	3.0634646853655134
miR-17-5p	64	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.6718605996522298
miR-194-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.6684111463842903
miR-3065-3p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.622729084679874
miR-625-3p	64	['6mer', '7mer-1a', '7mer-m8']	2.592471234553018
miR-195-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.573725837560798
miR-542-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.545124776828574
miR-107	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.2348658378137336
miR-132-3p	91	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.232646477851873
miR-128-3p	85	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.1913062883990766
miR-335-3p	83	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.0528764711125804
let-7i-3p	52	['8mer-1a']	2.046808284960084
miR-200a-3p	75	['6mer', '7mer-1a', '7mer-m8']	1.9945192421544646
miR-142-5p	51	['6mer', '7mer-1a', '7mer-m8']	1.991581952998478
miR-589-5p	69	['7mer-1a', '7mer-m8', '8mer-1a']	1.8248720403590912
miR-144-3p	54	['6mer', '7mer-1a', '7mer-m8']	1.7154350094801007
let-7b-3p	73	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.5951109354716606
miR-34c-3p	70	['6mer', '7mer-m8', '8mer-1a']	1.4797190012184809
miR-429	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.411498436625335
miR-181c-3p	71	['7mer-1a']	1.3965774489485145
let-7a-3p	70	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.3373885172920068
miR-660-5p	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.2582348734925315
miR-338-5p	64	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.2054290553271882
miR-424-5p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.0843704167986568
miR-511-5p	70	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.0453723010246236
miR-29b-2-5p	52	['6mer', '7mer-1a', '7mer-m8']	0.9591085192607656
miR-497-5p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.9332625514725941
miR-203b-3p	66	['6mer', '7mer-1a', '8mer-1a']	0.9177877260417341
miR-654-3p	66	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.7033277911018618
miR-514a-3p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.6488074168727443
miR-708-3p	81	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.5394823050847897
miR-224-5p	86	['6mer', '7mer-m8', '8mer-1a']	0.5394094299603328
miR-3613-5p	66	['6mer', '7mer-1a', '7mer-m8']	0.5150913851006996
miR-150-3p	85	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.45368762153851977
miR-4772-3p	71	['6mer', '7mer-1a', '8mer-1a']	0.42588814274307296
miR-766-3p	73	['6mer', '7mer-1a', '7mer-m8']	0.3991521741315333
miR-653-5p	66	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3936438336807
miR-450b-5p	88	['6mer', '7mer-1a', '7mer-m8']	0.3853285639678315
miR-214-3p	56	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.37735971831281
miR-3614-5p	59	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.35259801854750533
let-7g-3p	57	['6mer', '7mer-1a', '7mer-m8']	0.3384391422180421
miR-330-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3230944584374031
miR-576-5p	64	['6mer', '7mer-m8', '8mer-1a']	0.31604613257992153
miR-1301-3p	76	['6mer', '7mer-1a', '7mer-m8']	0.31541816874636064
miR-509-3p	74	['6mer', '8mer-1a']	0.28705686785002094
miR-212-3p	91	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2839961286117494
miR-382-5p	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.28210891607789157
miR-3065-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.279940476094652
miR-548b-3p	71	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2143037548936663
let-7c-3p	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2017972603643174
miR-454-3p	82	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.19178268250507943
miR-2355-3p	61	['6mer', '7mer-1a', '8mer-1a']	0.1906168677358636
let-7f-1-3p	70	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1867196156169116
miR-590-3p	84	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.18502389759294394
miR-500a-5p	58	['6mer', '7mer-1a', '7mer-m8']	0.17776469541298381
miR-376c-3p	65	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17661423121927045
miR-29a-5p	53	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17570811086691016
miR-493-5p	53	['6mer', '7mer-1a', '8mer-1a']	0.17481659297315963
miR-369-3p	66	['6mer', '7mer-1a', '7mer-m8']	0.17185382018371137
