Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	Locus_start	Locus_end	Protein_start	Protein_end
SARS-2	miR-4288	1018	1024	1018	1024	7mer-m8	x	0	99	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
SARS-2	miR-4288	12352	12359	12352	12359	8mer-1a	x	0	99	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
SARS-2	miR-4288	12915	12920	12915	12920	6mer	x	0	99	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
SARS-2	miR-4288	14314	14319	14314	14319	6mer	x	0	99	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
SARS-2	miR-4288	14838	14844	14838	14844	7mer-1a	x	0	99	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
SARS-2	miR-4288	17537	17542	17537	17542	6mer	x	0	99	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
SARS-2	miR-4288	18701	18706	18701	18706	6mer	x	0	99	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
SARS-2	miR-4288	19006	19013	19006	19013	8mer-1a	x	0	99	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
SARS-2	miR-4288	22783	22789	22783	22789	7mer-1a	x	0	99	S	S	surface glycoprotein	surface glycoprotein
SARS-2	miR-4288	2291	2296	2291	2296	6mer	x	0	99	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
SARS-2	miR-4288	23300	23305	23300	23305	6mer	x	0	99	S	S	surface glycoprotein	surface glycoprotein
SARS-2	miR-4288	24574	24580	24574	24580	7mer-m8	x	0	99	S	S	surface glycoprotein	surface glycoprotein
SARS-2	miR-4288	24912	24918	24912	24918	7mer-1a	x	0	99	S	S	surface glycoprotein	surface glycoprotein
SARS-2	miR-4288	26054	26059	26054	26059	6mer	x	0	99	ORF3a	ORF3a	ORF3a protein	ORF3a protein
SARS-2	miR-4288	27657	27663	27657	27663	7mer-1a	x	0	99	ORF7a	ORF7a	ORF7a protein	ORF7a protein
SARS-2	miR-4288	29149	29155	29149	29155	7mer-1a	x	0	99	N	N	nucleocapsid phosphoprotein	nucleocapsid phosphoprotein
SARS-2	miR-4288	3257	3263	3257	3263	7mer-1a	x	0	99	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
SARS-2	miR-4288	3392	3398	3392	3398	7mer-m8	x	0	99	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
SARS-2	miR-4288	4230	4236	4230	4236	7mer-1a	x	0	99	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
SARS-2	miR-4288	5539	5546	5539	5546	8mer-1a	x	0	99	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
SARS-2	miR-195-5p	10682	10687	10682	10687	6mer	x	0	99	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
SARS-2	miR-195-5p	13090	13097	13090	13097	8mer-1a	x	0	99	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
SARS-2	miR-195-5p	14562	14568	14562	14568	7mer-m8	x	0	99	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
SARS-2	miR-195-5p	14584	14589	14584	14589	6mer	x	0	99	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
SARS-2	miR-195-5p	14781	14788	14781	14788	8mer-1a	x	0	99	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
SARS-2	miR-195-5p	1883	1888	1883	1888	6mer	x	0	99	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
SARS-2	miR-195-5p	189	194	189	194	6mer	x	0	99				
SARS-2	miR-195-5p	19857	19864	19857	19864	8mer-1a	x	0	99	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
