Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	Locus_start	Locus_end	Protein_start	Protein_end
OC43	miR-6512-5p	10029	10034	10029	10034	6mer	x	0	100	orf1ab	orf1ab	Orf1ab	Orf1ab
OC43	miR-6512-5p	10758	10763	10758	10763	6mer	x	0	100	orf1ab	orf1ab	Orf1ab	Orf1ab
OC43	miR-6512-5p	11222	11227	11222	11227	6mer	x	0	100	orf1ab	orf1ab	Orf1ab	Orf1ab
OC43	miR-6512-5p	13952	13958	13952	13958	7mer-1a	x	0	100	orf1ab	orf1ab	Orf1ab	Orf1ab
OC43	miR-6512-5p	13959	13965	13959	13965	7mer-1a	x	0	100	orf1ab	orf1ab	Orf1ab	Orf1ab
OC43	miR-6512-5p	16355	16360	16355	16360	6mer	x	0	100	orf1ab	orf1ab	Orf1ab	Orf1ab
OC43	miR-6512-5p	16667	16673	16667	16673	7mer-1a	x	0	100	orf1ab	orf1ab	Orf1ab	Orf1ab
OC43	miR-6512-5p	16717	16723	16717	16723	7mer-m8	x	0	100	orf1ab	orf1ab	Orf1ab	Orf1ab
OC43	miR-6512-5p	19834	19840	19834	19840	7mer-m8	x	0	100	orf1ab	orf1ab	Orf1ab	Orf1ab
OC43	miR-6512-5p	20083	20090	20083	20090	8mer-1a	x	0	100	orf1ab	orf1ab	Orf1ab	Orf1ab
OC43	miR-6512-5p	23774	23780	23774	23780	7mer-m8	x	0	100	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
OC43	miR-6512-5p	23834	23840	23834	23840	7mer-m8	x	0	100	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
OC43	miR-6512-5p	23942	23949	23942	23949	8mer-1a	x	0	100	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
OC43	miR-6512-5p	25128	25133	25128	25133	6mer	x	0	100	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
OC43	miR-6512-5p	25163	25170	25163	25170	8mer-1a	x	0	100	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
OC43	miR-6512-5p	25601	25608	25601	25608	8mer-1a	x	0	100	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
OC43	miR-6512-5p	26235	26240	26235	26240	6mer	x	0	100	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
OC43	miR-6512-5p	26885	26891	26885	26891	7mer-m8	x	0	100	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
OC43	miR-6512-5p	27026	27033	27026	27033	8mer-1a	x	0	100	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
