miRNA	miRDB score	site type	average
miR-21-5p	55	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	10.959963473101087
miR-182-5p	52	['6mer', '7mer-1a', '7mer-m8']	7.20897214172941
miR-93-5p	69	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	5.933986251945814
miR-486-5p	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	5.772000345699802
miR-21-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.7943257799849635
miR-374a-3p	82	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.760407793383689
miR-338-3p	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.638347379242531
miR-16-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.190134721268195
miR-126-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.089519711516851
miR-221-3p	58	['6mer', '7mer-1a', '7mer-m8']	3.9656320550196367
miR-197-3p	73	['6mer', '7mer-1a', '7mer-m8']	3.802166908092065
miR-155-5p	74	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.6288620412629053
miR-17-3p	59	['6mer', '7mer-1a', '8mer-1a']	3.4980901908178907
miR-152-3p	81	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.4428166984166766
miR-361-5p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.4064948477894212
miR-141-3p	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.3745345761642573
miR-186-5p	90	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.0634646853655134
miR-582-3p	61	['6mer', '7mer-1a', '8mer-1a']	3.0006071328930104
miR-17-5p	69	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.6718605996522298
miR-194-5p	83	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.6684111463842903
miR-3065-3p	53	['6mer', '7mer-1a', '8mer-1a']	2.622729084679874
miR-625-3p	51	['6mer', '7mer-1a', '7mer-m8']	2.592471234553018
miR-195-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.573725837560798
miR-542-3p	65	['6mer', '7mer-1a', '8mer-1a']	2.545124776828574
miR-139-5p	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.3735577765138984
miR-107	81	['6mer', '7mer-1a', '7mer-m8']	2.2348658378137336
miR-132-3p	64	['6mer', '7mer-1a', '7mer-m8']	2.232646477851873
miR-28-5p	85	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.1200223643957288
miR-378a-5p	63	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.0850259947549987
miR-200a-3p	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.9945192421544646
miR-222-3p	54	['6mer', '7mer-1a', '7mer-m8']	1.8592108296992749
let-7b-3p	86	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.5951109354716606
miR-34c-3p	86	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.4797190012184809
miR-340-5p	80	['6mer', '7mer-1a', '8mer-1a']	1.4394932397311175
miR-429	69	['6mer', '7mer-1a', '7mer-m8']	1.411498436625335
miR-181c-3p	73	['6mer', '7mer-1a']	1.3965774489485145
miR-205-5p	59	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.3895036678604844
let-7a-3p	86	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.3373885172920068
miR-338-5p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.2054290553271882
miR-1287-5p	62	['7mer-1a', '7mer-m8', '8mer-1a']	1.1355081847951063
miR-424-5p	93	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.0843704167986568
miR-15b-3p	75	['6mer', '7mer-1a', '7mer-m8']	1.080087290390802
miR-125b-2-3p	86	['6mer', '7mer-1a']	1.0351871093039968
miR-29b-2-5p	71	['6mer', '7mer-m8', '8mer-1a']	0.9591085192607656
miR-335-5p	73	['6mer', '7mer-m8', '8mer-1a']	0.9567447011250758
miR-381-3p	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.9440684737020134
miR-497-5p	92	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.9332625514725941
miR-664a-3p	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.8302069958695695
miR-508-3p	93	['6mer', '7mer-m8', '8mer-1a']	0.7812752485818265
miR-34b-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.6681737927280728
miR-514a-3p	63	['6mer', '7mer-1a', '8mer-1a']	0.6488074168727443
miR-200c-5p	53	['6mer', '7mer-1a', '8mer-1a']	0.634259553174277
miR-455-5p	55	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.62513023859813
miR-27b-5p	72	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.5624119698312025
miR-708-3p	66	['6mer', '7mer-1a', '8mer-1a']	0.5394823050847897
miR-3613-5p	50	['6mer', '7mer-1a', '7mer-m8']	0.5150913851006996
miR-138-5p	50	['6mer', '7mer-1a', '8mer-1a']	0.4271323017946239
miR-4772-3p	76	['6mer', '7mer-1a', '7mer-m8']	0.42588814274307296
miR-410-3p	91	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.4123064631115213
miR-101-5p	62	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.41015056312247883
miR-222-5p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.39536893522960503
miR-653-5p	55	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3936438336807
miR-16-2-3p	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3888506992632232
miR-450b-5p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3853285639678315
miR-214-3p	74	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.37735971831281
miR-136-3p	71	['6mer', '7mer-1a', '7mer-m8']	0.3492915688693796
miR-889-3p	83	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3369140455373602
miR-195-3p	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.33426997207927966
miR-330-3p	60	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3230944584374031
miR-409-3p	82	['6mer', '7mer-1a', '7mer-m8']	0.3186174353001334
miR-1301-3p	54	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.31541816874636064
miR-6842-3p	53	['6mer', '7mer-1a', '7mer-m8']	0.2873634856579232
miR-212-3p	62	['6mer', '7mer-1a', '7mer-m8']	0.2839961286117494
miR-3065-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.279940476094652
miR-4677-3p	72	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.25984825283653823
miR-345-5p	56	['6mer']	0.258302976180222
miR-708-5p	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.25581418953911783
miR-590-5p	54	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2299609788963277
miR-548b-3p	60	['6mer', '7mer-1a', '7mer-m8']	0.2143037548936663
let-7c-3p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2017972603643174
miR-454-3p	58	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.19178268250507943
let-7f-1-3p	86	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1867196156169116
miR-590-3p	85	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.18502389759294394
miR-500a-5p	58	['6mer', '7mer-1a', '7mer-m8']	0.17776469541298381
miR-376c-3p	69	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17661423121927045
miR-29a-5p	63	['6mer', '7mer-1a', '8mer-1a']	0.17570811086691016
miR-493-5p	57	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17481659297315963
miR-369-3p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17185382018371137
miR-362-3p	93	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.16587200075626543
miR-495-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1590227175808509
miR-511-3p	57	['6mer', '7mer-m8']	0.14848639948412257
miR-421	75	['6mer', '7mer-1a', '7mer-m8']	0.14094659333760362
miR-370-3p	54	['6mer', '7mer-1a', '7mer-m8']	0.139923021631727
miR-223-5p	54	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.13156576669920017
miR-624-5p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.13145420205767971
miR-192-3p	66	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.12702556737143023
miR-1226-3p	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.11297356598072995
miR-944	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.10876262151789302
miR-4326	77	['6mer', '7mer-1a', '8mer-1a']	0.10777485197443543
miR-550a-3p	58	['6mer', '7mer-1a', '8mer-1a']	0.10563584254562801
miR-552-5p	75	['6mer', '7mer-1a', '7mer-m8']	0.1034465827459572
miR-493-3p	57	['6mer', '7mer-1a', '8mer-1a']	0.10292484504001802
miR-299-5p	64	['6mer', '7mer-1a', '7mer-m8']	0.10257319836540794
miR-6509-5p	65	['6mer', '7mer-1a', '7mer-m8']	0.10027204652056879
miR-374b-3p	89	['6mer', '7mer-1a', '7mer-m8']	0.09565750552441629
miR-651-5p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.09173496032424755
miR-33a-3p	74	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0879833837745911
miR-4999-5p	52	['6mer', '7mer-1a', '7mer-m8']	0.0863406223250992
miR-3614-3p	81	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.0849884434478348
miR-503-5p	63	['6mer', '7mer-1a']	0.0798870326146852
miR-20a-3p	59	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.06795311101294678
miR-760	62	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.06491094921215364
miR-148b-5p	53	['6mer', '7mer-1a', '7mer-m8']	0.0648125338120185
miR-6837-3p	74	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.06402624427725079
miR-5187-5p	67	['6mer', '7mer-m8', '8mer-1a']	0.06159913108732135
miR-433-3p	60	['7mer-1a', '7mer-m8', '8mer-1a']	0.057940201946333814
miR-98-3p	86	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.051125040324833025
let-7f-2-3p	75	['6mer', '7mer-1a', '7mer-m8']	0.05007688826125214
miR-618	53	['6mer', '7mer-1a', '7mer-m8']	0.048302835107351026
miR-153-5p	61	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.04738283652986864
miR-32-3p	67	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.04674320491279737
miR-382-3p	65	['6mer', '7mer-1a', '7mer-m8']	0.04591879337051126
miR-216a-5p	59	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.04579994288625995
miR-202-3p	50	['6mer']	0.04336672779218375
miR-655-3p	56	['6mer', '7mer-1a', '7mer-m8']	0.042151865642147936
miR-589-3p	66	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.04155138260978131
miR-1298-5p	52	['6mer', '7mer-1a', '8mer-1a']	0.04117876768453792
miR-4529-3p	52	['6mer', '7mer-1a', '8mer-1a']	0.04081039925518208
miR-3677-5p	54	['6mer', '7mer-1a', '8mer-1a']	0.0403800168227857
miR-6501-5p	51	['6mer', '7mer-m8']	0.038245556989812635
miR-4676-5p	69	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.037780723915967485
