miRNA	miRDB score	site type	average
miR-182-5p	51	['6mer', '7mer-m8', '8mer-1a']	7.20897214172941
miR-28-3p	80	['6mer', '7mer-m8', '8mer-1a']	6.911364943315501
miR-145-5p	81	['6mer', '7mer-m8', '8mer-1a']	6.1178387297914965
miR-21-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.7943257799849635
miR-374a-3p	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.760407793383689
miR-532-5p	61	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.710233139715205
miR-338-3p	66	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.638347379242531
miR-16-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.190134721268195
miR-126-5p	66	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.089519711516851
miR-197-3p	82	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.802166908092065
miR-155-5p	51	['6mer', '7mer-1a', '8mer-1a']	3.6288620412629053
miR-152-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.4428166984166766
miR-361-5p	74	['7mer-1a', '7mer-m8', '8mer-1a']	3.4064948477894212
miR-141-3p	91	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.3745345761642573
miR-186-5p	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.0634646853655134
miR-582-3p	86	['6mer', '7mer-1a', '7mer-m8']	3.0006071328930104
miR-218-5p	72	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.6871497346372775
miR-194-5p	90	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.6684111463842903
miR-3065-3p	90	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.622729084679874
miR-195-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.573725837560798
miR-542-3p	65	['6mer', '7mer-1a', '7mer-m8']	2.545124776828574
miR-139-5p	83	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.3735577765138984
miR-452-5p	74	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.2349468929173217
miR-107	85	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.2348658378137336
miR-132-3p	59	['6mer', '7mer-1a', '7mer-m8']	2.232646477851873
miR-128-3p	65	['6mer', '7mer-1a', '8mer-1a']	2.1913062883990766
miR-145-3p	78	['6mer', '7mer-m8']	2.1156819126144315
miR-335-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.0528764711125804
miR-200a-3p	90	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.9945192421544646
miR-142-5p	82	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.991581952998478
miR-584-5p	63	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.9509940622011235
miR-589-5p	64	['6mer', '8mer-1a']	1.8248720403590912
miR-144-3p	76	['6mer', '7mer-1a', '7mer-m8']	1.7154350094801007
miR-1-3p	54	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.5996332253289256
miR-34c-3p	75	['6mer', '7mer-m8', '8mer-1a']	1.4797190012184809
miR-340-5p	73	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.4394932397311175
miR-181c-3p	67	['6mer']	1.3965774489485145
miR-140-5p	55	['6mer', '7mer-1a', '7mer-m8']	1.3718717075226956
miR-148a-5p	61	['6mer', '7mer-1a', '7mer-m8']	1.2611428916346223
miR-338-5p	57	['6mer', '7mer-1a', '7mer-m8']	1.2054290553271882
miR-424-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.0843704167986568
miR-15b-3p	61	['6mer', '7mer-1a', '8mer-1a']	1.080087290390802
miR-511-5p	70	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.0453723010246236
miR-125b-2-3p	88	['6mer']	1.0351871093039968
miR-210-3p	52	['7mer-1a', '7mer-m8', '8mer-1a']	0.9882613114659509
miR-29b-2-5p	68	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.9591085192607656
miR-497-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.9332625514725941
miR-664a-3p	67	['6mer', '7mer-m8']	0.8302069958695695
miR-324-3p	70	['7mer-1a']	0.7845402536617254
miR-508-3p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.7812752485818265
miR-654-3p	51	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.7033277911018618
miR-22-5p	52	['6mer', '7mer-1a', '8mer-1a']	0.6939191847552165
miR-514a-3p	77	['6mer', '7mer-1a', '7mer-m8']	0.6488074168727443
miR-3613-5p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.5150913851006996
miR-6892-5p	59	['7mer-1a', '8mer-1a']	0.47101559873512483
miR-582-5p	55	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.4682241988883149
miR-214-5p	55	['6mer', '7mer-1a', '8mer-1a']	0.4624703641924181
miR-150-3p	50	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.45368762153851977
miR-125a-3p	57	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.44762774758066115
miR-138-5p	59	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.4271323017946239
miR-4772-3p	73	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.42588814274307296
miR-222-5p	86	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.39536893522960503
miR-653-5p	90	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3936438336807
miR-16-2-3p	69	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3888506992632232
miR-450b-5p	59	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3853285639678315
miR-214-3p	56	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.37735971831281
let-7g-3p	61	['6mer', '7mer-1a', '7mer-m8']	0.3384391422180421
miR-195-3p	69	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.33426997207927966
miR-942-5p	69	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3289607646762605
miR-330-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3230944584374031
miR-409-3p	96	['6mer', '7mer-1a', '7mer-m8']	0.3186174353001334
miR-576-5p	72	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.31604613257992153
miR-1301-3p	73	['6mer', '7mer-1a', '7mer-m8']	0.31541816874636064
miR-758-5p	90	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3080560623508065
miR-212-3p	59	['6mer', '7mer-1a', '7mer-m8']	0.2839961286117494
miR-382-5p	73	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.28210891607789157
miR-3065-5p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.279940476094652
miR-4677-3p	81	['6mer', '7mer-1a', '8mer-1a']	0.25984825283653823
miR-675-3p	85	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2515189386256204
miR-136-5p	67	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.23302795127519024
miR-548b-3p	66	['6mer', '7mer-1a', '7mer-m8']	0.2143037548936663
let-7c-3p	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2017972603643174
miR-432-5p	71	['7mer-1a', '7mer-m8', '8mer-1a']	0.20099614818861808
miR-454-3p	67	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.19178268250507943
miR-2355-3p	68	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1906168677358636
let-7f-1-3p	52	['6mer', '7mer-1a', '7mer-m8']	0.1867196156169116
miR-590-3p	70	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.18502389759294394
miR-206	54	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1814684675598576
