Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	average	Locus_start	Locus_end	Protein_start	Protein_end
229E	miR-21-3p	10078	10085	10078	10085	8mer-1a	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	10357	10362	10357	10362	6mer	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	10633	10639	10633	10639	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	10675	10682	10675	10682	8mer-1a	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	10778	10783	10778	10783	6mer	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	11515	11521	11515	11521	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	11629	11635	11629	11635	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	13083	13089	13083	13089	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-21-3p	15000	15006	15000	15006	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-21-3p	15117	15122	15117	15122	6mer	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-21-3p	15172	15177	15172	15177	6mer	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-21-3p	16522	16528	16522	16528	7mer-1a	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-21-3p	17406	17412	17406	17412	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-21-3p	17609	17615	17609	17615	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-21-3p	1820	1825	1820	1825	6mer	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	18846	18852	18846	18852	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-21-3p	19890	19896	19890	19896	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-21-3p	20773	20779	20773	20779	7mer-m8	x	0	100	4.7943257799849635	S	S	surface glycoprotein	surface glycoprotein
229E	miR-21-3p	20983	20989	20983	20989	7mer-m8	x	0	100	4.7943257799849635	S	S	surface glycoprotein	surface glycoprotein
229E	miR-21-3p	21538	21545	21538	21545	8mer-1a	x	0	100	4.7943257799849635	S	S	surface glycoprotein	surface glycoprotein
229E	miR-21-3p	21869	21875	21869	21875	7mer-1a	x	0	100	4.7943257799849635	S	S	surface glycoprotein	surface glycoprotein
229E	miR-21-3p	21941	21947	21941	21947	7mer-1a	x	0	100	4.7943257799849635	S	S	surface glycoprotein	surface glycoprotein
229E	miR-21-3p	22999	23006	22999	23006	8mer-1a	x	0	100	4.7943257799849635	S	S	surface glycoprotein	surface glycoprotein
229E	miR-21-3p	2467	2474	2467	2474	8mer-1a	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	25466	25471	25466	25471	6mer	x	0	100	4.7943257799849635	M	M	membrane protein	membrane protein
229E	miR-21-3p	26031	26037	26031	26037	7mer-1a	x	0	100	4.7943257799849635	N	N	nucleocapsid protein	nucleocapsid protein
229E	miR-21-3p	26090	26097	26090	26097	8mer-1a	x	0	100	4.7943257799849635	N	N	nucleocapsid protein	nucleocapsid protein
229E	miR-21-3p	26517	26522	26517	26522	6mer	x	0	100	4.7943257799849635	N	N	nucleocapsid protein	nucleocapsid protein
229E	miR-21-3p	26531	26538	26531	26538	8mer-1a	x	0	100	4.7943257799849635	N	N	nucleocapsid protein	nucleocapsid protein
