miRNA	miRDB score	site type	average
miR-182-5p	62	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	7.20897214172941
miR-28-3p	86	['6mer', '7mer-1a', '8mer-1a']	6.911364943315501
miR-145-5p	70	['7mer-1a', '7mer-m8', '8mer-1a']	6.1178387297914965
miR-93-5p	56	['6mer', '7mer-1a', '7mer-m8']	5.933986251945814
miR-150-5p	64	['6mer', '7mer-1a', '8mer-1a']	5.316943840331533
miR-21-3p	92	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.7943257799849635
miR-374a-3p	62	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.760407793383689
miR-532-5p	67	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.710233139715205
miR-338-3p	64	['6mer', '7mer-1a', '7mer-m8']	4.638347379242531
miR-144-5p	51	['7mer-m8', '8mer-1a']	4.6155535991626415
miR-223-3p	51	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.216324827378218
miR-16-5p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.190134721268195
miR-197-3p	53	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.802166908092065
miR-155-5p	71	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.6288620412629053
miR-193a-5p	56	['6mer', '8mer-1a']	3.5557755637359554
miR-152-3p	65	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.4428166984166766
miR-361-5p	71	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.4064948477894212
miR-186-5p	65	['6mer', '7mer-1a', '7mer-m8']	3.0634646853655134
miR-218-5p	68	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.6871497346372775
miR-17-5p	56	['6mer', '7mer-1a', '7mer-m8']	2.6718605996522298
miR-194-5p	66	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.6684111463842903
miR-3065-3p	93	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.622729084679874
miR-195-5p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.573725837560798
miR-542-3p	57	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.545124776828574
miR-139-5p	55	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.3735577765138984
miR-452-5p	54	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.2349468929173217
miR-107	90	['6mer', '7mer-1a', '7mer-m8']	2.2348658378137336
miR-134-5p	68	['6mer', '7mer-1a', '7mer-m8']	2.166072206558699
miR-335-3p	67	['6mer', '7mer-1a', '7mer-m8']	2.0528764711125804
miR-425-5p	65	['6mer', '7mer-1a', '7mer-m8']	1.9799212200665963
miR-144-3p	61	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.7154350094801007
miR-181c-3p	72	['6mer', '7mer-m8', '8mer-1a']	1.3965774489485145
miR-205-5p	58	['6mer', '7mer-1a', '7mer-m8']	1.3895036678604844
miR-140-5p	55	['6mer', '7mer-m8', '8mer-1a']	1.3718717075226956
miR-338-5p	62	['6mer', '7mer-1a', '7mer-m8']	1.2054290553271882
miR-1287-5p	63	['6mer', '7mer-m8', '8mer-1a']	1.1355081847951063
miR-424-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.0843704167986568
miR-511-5p	74	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.0453723010246236
miR-125b-2-3p	77	['6mer']	1.0351871093039968
miR-127-5p	59	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.0242486482879445
miR-335-5p	65	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.9567447011250758
miR-497-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.9332625514725941
miR-203b-3p	55	['7mer-1a', '7mer-m8']	0.9177877260417341
miR-22-5p	68	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.6939191847552165
miR-514a-3p	73	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.6488074168727443
miR-143-5p	68	['6mer', '7mer-1a']	0.5672119538219602
miR-224-5p	79	['6mer', '7mer-1a', '7mer-m8']	0.5394094299603328
miR-3613-5p	93	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.5150913851006996
miR-582-5p	60	['6mer', '7mer-1a', '7mer-m8']	0.4682241988883149
miR-214-5p	63	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.4624703641924181
miR-185-3p	51	['6mer', '7mer-1a', '7mer-m8']	0.44980866710865397
miR-4772-3p	59	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.42588814274307296
miR-222-5p	84	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.39536893522960503
miR-653-5p	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3936438336807
miR-450b-5p	71	['6mer', '7mer-1a', '7mer-m8']	0.3853285639678315
miR-214-3p	82	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.37735971831281
miR-136-3p	50	['6mer', '7mer-1a']	0.3492915688693796
let-7g-3p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3384391422180421
miR-330-3p	73	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3230944584374031
miR-409-3p	92	['6mer', '7mer-1a', '7mer-m8']	0.3186174353001334
miR-576-5p	54	['6mer', '7mer-1a', '8mer-1a']	0.31604613257992153
miR-1301-3p	62	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.31541816874636064
miR-758-5p	69	['6mer', '7mer-1a', '7mer-m8']	0.3080560623508065
miR-509-3p	63	['7mer-1a', '8mer-1a']	0.28705686785002094
miR-362-5p	59	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2851197615600217
miR-382-5p	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.28210891607789157
miR-133b	72	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.28114570312664233
miR-3065-5p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.279940476094652
miR-4677-3p	60	['6mer', '7mer-1a', '7mer-m8']	0.25984825283653823
miR-675-3p	62	['6mer', '7mer-1a', '8mer-1a']	0.2515189386256204
miR-136-5p	67	['6mer', '7mer-1a', '7mer-m8']	0.23302795127519024
miR-130b-5p	61	['6mer', '7mer-1a', '7mer-m8']	0.21957008516911652
miR-548b-3p	65	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2143037548936663
let-7c-3p	81	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2017972603643174
miR-454-3p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.19178268250507943
miR-2355-3p	69	['6mer', '7mer-m8', '8mer-1a']	0.1906168677358636
miR-590-3p	70	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.18502389759294394
miR-500a-5p	73	['6mer', '7mer-m8', '8mer-1a']	0.17776469541298381
miR-376c-3p	52	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17661423121927045
miR-500b-5p	59	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17535266819673645
miR-493-5p	91	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17481659297315963
miR-369-3p	55	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17185382018371137
miR-5586-5p	53	['6mer', '7mer-1a', '7mer-m8']	0.1664609014883512
miR-362-3p	58	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.16587200075626543
miR-758-3p	67	['6mer', '7mer-1a', '7mer-m8']	0.16299849813484335
miR-495-3p	72	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1590227175808509
let-7a-2-3p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.15216132189560022
