miRNA	miRDB score	site type	average
miR-25-3p	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	8.134416510034338
miR-182-5p	60	['6mer', '7mer-1a', '7mer-m8']	7.20897214172941
miR-145-5p	61	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	6.1178387297914965
miR-93-5p	67	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	5.933986251945814
miR-486-5p	57	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	5.772000345699802
miR-21-3p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.7943257799849635
miR-374a-3p	60	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.760407793383689
miR-338-3p	56	['6mer', '7mer-1a', '7mer-m8']	4.638347379242531
miR-223-3p	53	['6mer', '7mer-1a', '7mer-m8']	4.216324827378218
miR-16-5p	96	['6mer', '7mer-m8', '8mer-1a']	4.190134721268195
miR-126-5p	72	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	4.089519711516851
miR-197-3p	74	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.802166908092065
miR-379-5p	62	['6mer', '7mer-1a', '8mer-1a']	3.7946536687242194
miR-361-5p	70	['6mer', '7mer-m8', '8mer-1a']	3.4064948477894212
miR-141-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.3745345761642573
miR-186-5p	73	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	3.0634646853655134
miR-17-5p	67	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.6718605996522298
miR-194-5p	74	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.6684111463842903
miR-3065-3p	82	['6mer', '7mer-1a', '8mer-1a']	2.622729084679874
miR-625-3p	54	['6mer', '7mer-1a', '7mer-m8']	2.592471234553018
miR-195-5p	96	['6mer', '7mer-m8', '8mer-1a']	2.573725837560798
miR-542-3p	53	['6mer', '7mer-1a', '7mer-m8']	2.545124776828574
miR-452-5p	69	['6mer', '7mer-m8', '8mer-1a']	2.2349468929173217
miR-107	71	['6mer', '7mer-1a', '7mer-m8']	2.2348658378137336
miR-132-3p	74	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.232646477851873
miR-335-3p	81	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.0528764711125804
let-7i-3p	73	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	2.046808284960084
miR-200a-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.9945192421544646
miR-142-5p	68	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.991581952998478
miR-629-5p	66	['7mer-1a', '7mer-m8', '8mer-1a']	1.7132732251528484
miR-1-3p	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.5996332253289256
let-7b-3p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.5951109354716606
miR-34c-3p	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.4797190012184809
miR-181c-3p	57	['6mer', '7mer-1a', '7mer-m8']	1.3965774489485145
miR-32-5p	83	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.3625815226745133
let-7a-3p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.3373885172920068
miR-532-3p	69	['6mer', '7mer-m8', '8mer-1a']	1.2189259696042607
miR-424-5p	94	['6mer', '7mer-m8', '8mer-1a']	1.0843704167986568
miR-15b-3p	60	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	1.080087290390802
miR-511-5p	56	['7mer-1a', '7mer-m8', '8mer-1a']	1.0453723010246236
miR-125b-2-3p	58	['6mer']	1.0351871093039968
miR-381-3p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.9440684737020134
miR-497-5p	94	['6mer', '7mer-m8', '8mer-1a']	0.9332625514725941
miR-203b-3p	86	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.9177877260417341
let-7e-3p	58	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.8755705575218815
miR-874-3p	67	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.8115684533655962
miR-324-3p	86	['6mer']	0.7845402536617254
miR-769-5p	57	['7mer-m8', '8mer-1a']	0.7002261652042311
miR-34b-3p	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.6681737927280728
miR-363-3p	81	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.5291875828080143
miR-3613-5p	71	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.5150913851006996
miR-6892-5p	55	['7mer-1a', '7mer-m8', '8mer-1a']	0.47101559873512483
miR-582-5p	79	['6mer', '7mer-m8', '8mer-1a']	0.4682241988883149
miR-214-5p	52	['6mer', '7mer-1a', '7mer-m8']	0.4624703641924181
miR-138-5p	57	['6mer', '7mer-m8', '8mer-1a']	0.4271323017946239
miR-4772-3p	55	['6mer', '7mer-1a', '7mer-m8']	0.42588814274307296
miR-1306-5p	57	['6mer']	0.4206154857804678
miR-26b-3p	69	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.40660522394941057
miR-3130-5p	85	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.39975042135488453
miR-222-5p	54	['6mer', '7mer-1a', '7mer-m8']	0.39536893522960503
miR-653-5p	53	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3936438336807
miR-16-2-3p	58	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3888506992632232
miR-450b-5p	93	['6mer', '7mer-1a', '7mer-m8']	0.3853285639678315
miR-214-3p	52	['6mer', '7mer-1a', '7mer-m8']	0.37735971831281
miR-3614-5p	55	['6mer', '7mer-1a', '7mer-m8']	0.35259801854750533
miR-195-3p	58	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.33426997207927966
miR-330-3p	54	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.3230944584374031
miR-409-3p	66	['6mer', '7mer-1a', '7mer-m8']	0.3186174353001334
miR-576-5p	62	['6mer', '7mer-1a', '8mer-1a']	0.31604613257992153
miR-362-5p	56	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2851197615600217
miR-212-3p	74	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2839961286117494
miR-3065-5p	92	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.279940476094652
miR-345-5p	50	['6mer']	0.258302976180222
miR-4732-3p	56	['6mer', '7mer-1a', '7mer-m8']	0.2526155558381614
miR-675-3p	84	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.2515189386256204
miR-3074-5p	50	['6mer', '7mer-1a']	0.24680803980688718
miR-95-3p	51	['6mer', '7mer-1a', '7mer-m8']	0.23202985004144946
miR-129-5p	65	['6mer', '7mer-m8', '8mer-1a']	0.2309167406982188
miR-548b-3p	66	['6mer', '7mer-1a', '7mer-m8']	0.2143037548936663
let-7c-3p	73	['6mer', '7mer-m8', '8mer-1a']	0.2017972603643174
miR-10b-3p	80	['6mer', '7mer-1a']	0.19290782500228706
miR-454-3p	68	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.19178268250507943
let-7f-1-3p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1867196156169116
miR-590-3p	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.18502389759294394
miR-206	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1814684675598576
miR-376c-3p	83	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17661423121927045
miR-500b-5p	56	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17535266819673645
miR-369-3p	63	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.17185382018371137
miR-362-3p	70	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.16587200075626543
miR-744-3p	53	['6mer', '7mer-1a', '8mer-1a']	0.16298843329682855
miR-495-3p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.1590227175808509
miR-935	60	['6mer', '7mer-1a', '7mer-m8']	0.15508745307498092
miR-421	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.14094659333760362
miR-223-5p	61	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.13156576669920017
miR-624-5p	82	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']	0.13145420205767971
