Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	Locus_start	Locus_end	Protein_start	Protein_end
MERS	miR-633	1083	1090	1083	1090	8mer-1a	x	0	98	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-633	14757	14762	14757	14762	6mer	x	0	98	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-633	14953	14958	14953	14958	6mer	x	0	98	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-633	15051	15056	15051	15056	6mer	x	0	98	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-633	16693	16699	16693	16699	7mer-m8	x	0	98	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-633	17282	17289	17282	17289	8mer-1a	x	0	98	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-633	1903	1909	1903	1909	7mer-1a	x	0	98	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-633	21105	21111	21105	21111	7mer-1a	x	0	98	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-633	21242	21249	21242	21249	8mer-1a	x	0	98	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-633	22320	22327	22320	22327	8mer-1a	x	0	98	S	S	spike glycoprotein	spike glycoprotein
MERS	miR-633	22923	22929	22923	22929	7mer-m8	x	0	98	S	S	spike glycoprotein	spike glycoprotein
MERS	miR-633	23375	23380	23375	23380	6mer	x	0	98	S	S	spike glycoprotein	spike glycoprotein
MERS	miR-633	2510	2515	2510	2515	6mer	x	0	98	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-633	25525	25532	25525	25532	8mer-1a	x	0	98		orf3		NS3 protein
MERS	miR-633	26576	26583	26576	26583	8mer-1a	x	0	98	orf4b	orf4b	NS4B protein	NS4B protein
MERS	miR-633	26993	26998	26993	26998	6mer	x	0	98	orf5	orf5	NS5 protein	NS5 protein
MERS	miR-633	28472	28477	28472	28477	6mer	x	0	98	M	M	membrane protein	membrane protein
MERS	miR-633	30070	30075	30070	30075	6mer	x	0	98				
MERS	miR-633	3754	3760	3754	3760	7mer-1a	x	0	98	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-633	5878	5883	5878	5883	6mer	x	0	98	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-633	7624	7630	7624	7630	7mer-1a	x	0	98	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-633	9340	9345	9340	9345	6mer	x	0	98	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-633	9413	9418	9413	9418	6mer	x	0	98	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-633	9556	9562	9556	9562	7mer-m8	x	0	98	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-633	13701	13707	13701	13707	7mer-m8	x	0	98	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-633	17425	17430	17425	17430	6mer	x	0	98	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-633	17994	18000	17994	18000	7mer-1a	x	0	98	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-633	4591	4596	4591	4596	6mer	x	0	98	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	1087	1092	1087	1092	6mer	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	10906	10911	10906	10911	6mer	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	11766	11771	11766	11771	6mer	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	12190	12195	12190	12195	6mer	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	14193	14199	14193	14199	7mer-1a	x	0	97	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-4477a	14895	14901	14895	14901	7mer-1a	x	0	97	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-4477a	14928	14934	14928	14934	7mer-1a	x	0	97	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-4477a	15656	15663	15656	15663	8mer-1a	x	0	97	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-4477a	16524	16529	16524	16529	6mer	x	0	97	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-4477a	17670	17675	17670	17675	6mer	x	0	97	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-4477a	21072	21078	21072	21078	7mer-1a	x	0	97	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-4477a	23772	23778	23772	23778	7mer-m8	x	0	97	S	S	spike glycoprotein	spike glycoprotein
MERS	miR-4477a	2403	2410	2403	2410	8mer-1a	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	24277	24282	24277	24282	6mer	x	0	97	S	S	spike glycoprotein	spike glycoprotein
MERS	miR-4477a	25053	25059	25053	25059	7mer-m8	x	0	97	S	S	spike glycoprotein	spike glycoprotein
MERS	miR-4477a	25219	25224	25219	25224	6mer	x	0	97	S	S	spike glycoprotein	spike glycoprotein
MERS	miR-4477a	28819	28824	28819	28824	6mer	x	0	97	orf8b	orf8b	ORF8b protein	ORF8b protein
MERS	miR-4477a	5893	5899	5893	5899	7mer-1a	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	6081	6088	6081	6088	8mer-1a	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	7981	7986	7981	7986	6mer	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	9264	9270	9264	9270	7mer-m8	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	9421	9427	9421	9427	7mer-1a	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	9489	9495	9489	9495	7mer-m8	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	1087	1092	1087	1092	6mer	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	10906	10911	10906	10911	6mer	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	11766	11771	11766	11771	6mer	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	12190	12195	12190	12195	6mer	x	0	97	orf1ab	orf1ab	1A polyprotein	1A polyprotein
MERS	miR-4477a	14193	14199	14193	14199	7mer-1a	x	0	97	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-4477a	14895	14901	14895	14901	7mer-1a	x	0	97	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
MERS	miR-4477a	14928	14934	14928	14934	7mer-1a	x	0	97	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
