Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	average	Locus_start	Locus_end	Protein_start	Protein_end
Human_coronavirus_OC43	miR-21-3p	12187	12192	11565	11570	6mer	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	12307	12312	11685	11690	6mer	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	1381	1387	1331	1337	7mer-m8	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	138	144	126	132	7mer-m8	x	0	99	4.7943257799849635				
Human_coronavirus_OC43	miR-21-3p	14661	14667	14002	14008	7mer-m8	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	1555	1560	1500	1505	6mer	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	15648	15654	14977	14983	7mer-m8	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	15723	15729	15052	15058	7mer-m8	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	1877	1882	1809	1814	6mer	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	1921	1926	1851	1856	6mer	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	19420	19425	18738	18743	6mer	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	23382	23388	22657	22663	7mer-1a	x	0	99	4.7943257799849635	EYW02_gp3	EYW02_gp3	hemagglutinin-esterase	hemagglutinin-esterase
Human_coronavirus_OC43	miR-21-3p	23769	23776	23040	23047	8mer-1a	x	0	99	4.7943257799849635	EYW02_gp3	EYW02_gp3	hemagglutinin-esterase	hemagglutinin-esterase
Human_coronavirus_OC43	miR-21-3p	24048	24054	23319	23325	7mer-m8	x	0	99	4.7943257799849635	EYW02_gp3	EYW02_gp3	hemagglutinin-esterase	hemagglutinin-esterase
Human_coronavirus_OC43	miR-21-3p	24954	24959	24219	24224	6mer	x	0	99	4.7943257799849635	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
Human_coronavirus_OC43	miR-21-3p	25071	25077	24332	24338	7mer-m8	x	0	99	4.7943257799849635	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
Human_coronavirus_OC43	miR-21-3p	25317	25323	24569	24575	7mer-m8	x	0	99	4.7943257799849635	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
Human_coronavirus_OC43	miR-21-3p	25804	25809	25050	25055	6mer	x	0	99	4.7943257799849635	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
Human_coronavirus_OC43	miR-21-3p	26251	26257	25496	25502	7mer-m8	x	0	99	4.7943257799849635	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
Human_coronavirus_OC43	miR-21-3p	26994	27001	26237	26244	8mer-1a	x	0	99	4.7943257799849635	EYW02_gp4	EYW02_gp4	spike surface glycoprotein	spike surface glycoprotein
Human_coronavirus_OC43	miR-21-3p	3734	3740	3506	3512	7mer-1a	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	4381	4387	4133	4139	7mer-m8	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	5022	5029	4763	4770	8mer-1a	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	5200	5207	4925	4932	8mer-1a	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	6140	6146	5822	5828	7mer-1a	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
Human_coronavirus_OC43	miR-21-3p	6431	6437	6091	6097	7mer-m8	x	0	99	4.7943257799849635	orf1ab	orf1ab	Orf1ab	Orf1ab
