Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	Locus_start	Locus_end	Protein_start	Protein_end
HKU1	miR-8061	11115	11122	11115	11122	8mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-8061	13575	13582	13575	13582	8mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-8061	15950	15957	15950	15957	8mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-8061	17837	17842	17837	17842	6mer	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-8061	1887	1892	1887	1892	6mer	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-8061	19329	19334	19329	19334	6mer	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-8061	19526	19533	19526	19533	8mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-8061	20594	20600	20594	20600	7mer-m8	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-8061	21763	21770	21763	21770	8mer-1a	x	0	100				
HKU1	miR-8061	22344	22350	22344	22350	7mer-m8	x	0	100	HE	HE	hemagglutinin-esterase glycoprotein	hemagglutinin-esterase glycoprotein
HKU1	miR-8061	22518	22525	22518	22525	8mer-1a	x	0	100	HE	HE	hemagglutinin-esterase glycoprotein	hemagglutinin-esterase glycoprotein
HKU1	miR-8061	22933	22940	22933	22940	8mer-1a	x	0	100	HE		hemagglutinin-esterase glycoprotein	
HKU1	miR-8061	23432	23439	23432	23439	8mer-1a	x	0	100	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-8061	24065	24071	24065	24071	7mer-m8	x	0	100	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-8061	27035	27042	27035	27042	8mer-1a	x	0	100				
HKU1	miR-8061	27615	27622	27615	27622	8mer-1a	x	0	100	E		small membrane protein	
HKU1	miR-8061	27621	27628	27621	27628	8mer-1a	x	0	100	E		small membrane protein	
HKU1	miR-8061	28304	28311	28304	28311	8mer-1a	x	0	100	M		membrane glycoprotein	
HKU1	miR-8061	4458	4465	4458	4465	8mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-8061	63	70	63	70	8mer-1a	x	0	100				
HKU1	miR-802	10542	10547	10542	10547	6mer	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-802	10737	10742	10737	10742	6mer	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-802	14387	14393	14387	14393	7mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-802	14912	14918	14912	14918	7mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-802	15661	15667	15661	15667	7mer-m8	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-802	16307	16313	16307	16313	7mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-802	20313	20318	20313	20318	6mer	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-802	20654	20660	20654	20660	7mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-802	23129	23134	23129	23134	6mer	x	0	100	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-802	23867	23872	23867	23872	6mer	x	0	100	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-802	24791	24797	24791	24797	7mer-1a	x	0	100	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-802	27140	27145	27140	27145	6mer	x	0	100	orf4	orf4	non-structural protein	non-structural protein
HKU1	miR-802	27160	27166	27160	27166	7mer-m8	x	0	100	orf4	orf4	non-structural protein	non-structural protein
HKU1	miR-802	2774	2780	2774	2780	7mer-m8	x	0	100	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-802	28140	28146	28140	28146	7mer-m8	x	0	100	M	M	membrane glycoprotein	membrane glycoprotein
