Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	Locus_start	Locus_end	Protein_start	Protein_end
SARS	miR-195-5p	10611	10617	10611	10617	7mer-m8	x	0	100	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS	miR-195-5p	10779	10785	10779	10785	7mer-m8	x	0	100	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS	miR-195-5p	10794	10799	10794	10799	6mer	x	0	100	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS	miR-195-5p	11072	11078	11072	11078	7mer-m8	x	0	100	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS	miR-195-5p	11304	11311	11304	11311	8mer-1a	x	0	100	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS	miR-195-5p	11563	11569	11563	11569	7mer-m8	x	0	100	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS	miR-195-5p	11566	11573	11566	11573	8mer-1a	x	0	100	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS	miR-195-5p	12934	12940	12934	12940	7mer-1a	x	0	100	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS	miR-195-5p	14124	14129	14124	14129	6mer	x	0	100	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS	miR-195-5p	14492	14498	14492	14498	7mer-m8	x	0	100	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS	miR-195-5p	14712	14718	14712	14718	7mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS	miR-195-5p	1508	1514	1508	1514	7mer-1a	x	0	100	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS	miR-195-5p	16251	16258	16251	16258	8mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS	miR-195-5p	1882	1887	1882	1887	6mer	x	0	100	orf1ab	orf1ab	orf1a polyprotein (pp1a)	orf1a polyprotein (pp1a)
SARS	miR-195-5p	19788	19794	19788	19794	7mer-1a	x	0	100	orf1ab	orf1ab	orf1ab polyprotein (pp1ab)	orf1ab polyprotein (pp1ab)
SARS	miR-195-5p	23747	23753	23747	23753	7mer-m8	x	0	100	S	S	E2 glycoprotein precursor	E2 glycoprotein precursor
SARS	miR-195-5p	24059	24065	24059	24065	7mer-m8	x	0	100	S	S	E2 glycoprotein precursor	E2 glycoprotein precursor
SARS	miR-195-5p	24111	24116	24111	24116	6mer	x	0	100	S	S	E2 glycoprotein precursor	E2 glycoprotein precursor
SARS	miR-195-5p	24480	24485	24480	24485	6mer	x	0	100	S	S	E2 glycoprotein precursor	E2 glycoprotein precursor
SARS	miR-195-5p	24509	24516	24509	24516	8mer-1a	x	0	100	S	S	E2 glycoprotein precursor	E2 glycoprotein precursor
SARS	miR-195-5p	25518	25525	25518	25525	8mer-1a	x	0	100	sars3a	sars3a	hypothetical protein sars3a	hypothetical protein sars3a
SARS	miR-195-5p	26595	26601	26595	26601	7mer-m8	x	0	100	M	M	matrix protein	matrix protein
