Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	average	Locus_start	Locus_end	Protein_start	Protein_end
HKU1	miR-21-3p	10973	10978	10973	10978	6mer	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	11101	11108	11101	11108	8mer-1a	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	11242	11249	11242	11249	8mer-1a	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	11825	11830	11825	11830	6mer	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	13168	13174	13168	13174	7mer-m8	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	13854	13860	13854	13860	7mer-m8	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	1414	1421	1414	1421	8mer-1a	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	14181	14187	14181	14187	7mer-m8	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	15238	15243	15238	15243	6mer	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	15313	15318	15313	15318	6mer	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	15846	15852	15846	15852	7mer-m8	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	17135	17141	17135	17141	7mer-m8	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	17935	17940	17935	17940	6mer	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	20028	20034	20028	20034	7mer-m8	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	20130	20136	20130	20136	7mer-m8	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	22058	22064	22058	22064	7mer-1a	x	0	100	4.7943257799849635	HE	HE	hemagglutinin-esterase glycoprotein	hemagglutinin-esterase glycoprotein
HKU1	miR-21-3p	23370	23376	23370	23376	7mer-m8	x	0	100	4.7943257799849635	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-21-3p	23760	23767	23760	23767	8mer-1a	x	0	100	4.7943257799849635	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-21-3p	23844	23850	23844	23850	7mer-m8	x	0	100	4.7943257799849635	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-21-3p	24491	24496	24491	24496	6mer	x	0	100	4.7943257799849635	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-21-3p	24561	24567	24561	24567	7mer-m8	x	0	100	4.7943257799849635	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-21-3p	24589	24594	24589	24594	6mer	x	0	100	4.7943257799849635	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-21-3p	25924	25930	25924	25930	7mer-1a	x	0	100	4.7943257799849635	S	S	spike glycoprotein	spike glycoprotein
HKU1	miR-21-3p	27101	27108	27101	27108	8mer-1a	x	0	100	4.7943257799849635	orf4	orf4	non-structural protein	non-structural protein
HKU1	miR-21-3p	27260	27266	27260	27266	7mer-m8	x	0	100	4.7943257799849635	orf4	orf4	non-structural protein	non-structural protein
HKU1	miR-21-3p	2771	2777	2771	2777	7mer-1a	x	0	100	4.7943257799849635	orf1ab	orf1ab	orf1ab polyprotein	orf1ab polyprotein
HKU1	miR-21-3p	29505	29511	29505	29511	7mer-1a	x	0	100	4.7943257799849635	N	N	nucleocapsid phosphoprotein	nucleocapsid phosphoprotein
