Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	average	Locus_start	Locus_end	Protein_start	Protein_end
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	10408	10413	9950	9955	6mer	x	0	99	2.573725837560798	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	11153	11158	10682	10687	6mer	x	0	99	2.573725837560798	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	13612	13619	13090	13097	8mer-1a	x	0	99	2.573725837560798	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	15096	15102	14562	14568	7mer-m8	x	0	99	2.573725837560798	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	15118	15123	14584	14589	6mer	x	0	99	2.573725837560798	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	15315	15322	14781	14788	8mer-1a	x	0	99	2.573725837560798	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	2026	2031	1883	1888	6mer	x	0	99	2.573725837560798	ORF1ab	ORF1ab	orf1a polyprotein	orf1a polyprotein
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	20409	20416	19857	19864	8mer-1a	x	0	99	2.573725837560798	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	205	213	189	194	6mer	x	0	99	2.573725837560798				
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	21578	21583	20937	20942	6mer	x	0	99	2.573725837560798	ORF1ab	ORF1ab	orf1ab polyprotein	orf1ab polyprotein
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	25137	25144	24094	24101	8mer-1a	x	0	99	2.573725837560798	S	S	surface glycoprotein	surface glycoprotein
Severe_acute_respiratory_syndrome_coronavirus_2	miR-195-5p	25705	25712	24634	24641	8mer-1a	x	0	99	2.573725837560798	S	S	surface glycoprotein	surface glycoprotein
