Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	average	Locus_start	Locus_end	Protein_start	Protein_end
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	11314	11320	10811	10816	6mer	x	0	96	2.573725837560798	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	12327	12334	11801	11808	8mer-1a	x	0	96	2.573725837560798	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	15315	15322	14752	14759	8mer-1a	x	0	96	2.573725837560798	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	16855	16862	16292	16299	8mer-1a	x	0	96	2.573725837560798	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	17169	17175	16606	16612	7mer-m8	x	0	96	2.573725837560798	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	19541	19547	18955	18961	7mer-m8	x	0	96	2.573725837560798	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	25287	25294	24356	24363	8mer-1a	x	0	96	2.573725837560798	S	S	spike glycoprotein	spike glycoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	25683	25688	24729	24734	6mer	x	0	96	2.573725837560798	S	S	spike glycoprotein	spike glycoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	28190	28197	26960	26965	6mer	x	0	96	2.573725837560798	orf5	orf5	NS5 protein	NS5 protein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	3050	3056	2885	2891	7mer-m8	x	0	96	2.573725837560798	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	30703	30709	29291	29297	7mer-m8	x	0	96	2.573725837560798	N	N	nucleoprotein	nucleoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	30706	30712	29294	29300	7mer-m8	x	0	96	2.573725837560798	N	N	nucleoprotein	nucleoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	30709	30716	29297	29304	8mer-1a	x	0	96	2.573725837560798	N	N	nucleoprotein	nucleoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	3560	3565	3294	3299	6mer	x	0	96	2.573725837560798	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	4000	4007	3710	3717	8mer-1a	x	0	96	2.573725837560798	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	5901	5907	5452	5458	7mer-m8	x	0	96	2.573725837560798	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	7212	7218	6746	6752	7mer-m8	x	0	96	2.573725837560798	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	8819	8824	8343	8348	6mer	x	0	96	2.573725837560798	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-195-5p	9964	9970	9479	9485	7mer-m8	x	0	96	2.573725837560798	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	11314	11320	10811	10816	6mer	x	0	96	4.190134721268195	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	12327	12334	11801	11808	8mer-1a	x	0	96	4.190134721268195	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	15315	15322	14752	14759	8mer-1a	x	0	96	4.190134721268195	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	16855	16862	16292	16299	8mer-1a	x	0	96	4.190134721268195	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	17169	17175	16606	16612	7mer-m8	x	0	96	4.190134721268195	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	19541	19547	18955	18961	7mer-m8	x	0	96	4.190134721268195	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	25287	25294	24356	24363	8mer-1a	x	0	96	4.190134721268195	S	S	spike glycoprotein	spike glycoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	25683	25688	24729	24734	6mer	x	0	96	4.190134721268195	S	S	spike glycoprotein	spike glycoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	28190	28197	26960	26965	6mer	x	0	96	4.190134721268195	orf5	orf5	NS5 protein	NS5 protein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	3050	3056	2885	2891	7mer-m8	x	0	96	4.190134721268195	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	30703	30709	29291	29297	7mer-m8	x	0	96	4.190134721268195	N	N	nucleoprotein	nucleoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	30706	30712	29294	29300	7mer-m8	x	0	96	4.190134721268195	N	N	nucleoprotein	nucleoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	30709	30716	29297	29304	8mer-1a	x	0	96	4.190134721268195	N	N	nucleoprotein	nucleoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	3560	3565	3294	3299	6mer	x	0	96	4.190134721268195	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	4000	4007	3710	3717	8mer-1a	x	0	96	4.190134721268195	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	5901	5907	5452	5458	7mer-m8	x	0	96	4.190134721268195	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	7212	7218	6746	6752	7mer-m8	x	0	96	4.190134721268195	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	8819	8824	8343	8348	6mer	x	0	96	4.190134721268195	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-16-5p	9964	9970	9479	9485	7mer-m8	x	0	96	4.190134721268195	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	10963	10968	10467	10472	6mer	x	0	89	1.9945192421544649	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	11124	11132	10628	10635	8mer-1a	x	0	89	1.9945192421544649	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	11201	11206	10704	10709	6mer	x	0	89	1.9945192421544649	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	13510	13516	12953	12959	7mer-1a	x	0	89	1.9945192421544649	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	14481	14488	13918	13925	8mer-1a	x	0	89	1.9945192421544649	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	18662	18667	18083	18088	6mer	x	0	89	1.9945192421544649	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	19204	19209	18618	18623	6mer	x	0	89	1.9945192421544649	orf1ab	orf1ab	1ab polyprotein	1ab polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	22163	22169	21466	21472	7mer-m8	x	0	89	1.9945192421544649	S	S	spike glycoprotein	spike glycoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	23598	23605	22823	22830	8mer-1a	x	0	89	1.9945192421544649	S	S	spike glycoprotein	spike glycoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	24049	24054	23202	23207	6mer	x	0	89	1.9945192421544649	S	S	spike glycoprotein	spike glycoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	24289	24294	23421	23426	6mer	x	0	89	1.9945192421544649	S	S	spike glycoprotein	spike glycoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	24350	24355	23481	23486	6mer	x	0	89	1.9945192421544649	S	S	spike glycoprotein	spike glycoprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	2475	2481	2390	2396	7mer-1a	x	0	89	1.9945192421544649	orf1ab	orf1ab	1A polyprotein	1A polyprotein
Middle_East_respiratory_syndrome_coronavirus	miR-200a-3p	26610	26615	25564	25569	6mer	x	0	89	1.9945192421544649	orf3	orf3	NS3 protein	NS3 protein
